
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-03-11 20:04:32 /api/super-admin/users ............................................................. ~ 513.12ms
  2026-03-11 20:04:32 /api/super-admin/tenants ................................................................. ~ 1s
  2026-03-11 20:04:32 /api/super-admin/online-users ............................................................ ~ 1s
  2026-03-11 20:04:36 /api/online-widget/settings ........................................................ ~ 503.65ms
  2026-03-11 20:04:36 /api/super-admin/tenants ................................................................. ~ 1s
  2026-03-11 20:04:36 /api/super-admin/online-users ............................................................ ~ 1s
  2026-03-11 20:04:39 /api/online-widget/settings .......................................................... ~ 0.15ms
  2026-03-11 20:04:39 /api/super-admin/bios-conflicts .................................................... ~ 506.28ms
  2026-03-11 20:04:40 /api/super-admin/online-users ............................................................ ~ 1s
  2026-03-11 20:05:11 /api/super-admin/online-users ............................................................ ~ 1s
  2026-03-11 20:05:31 /api/auth/login .......................................................................... ~ 1s
  2026-03-11 20:05:32 /api/online-widget/settings ........................................................ ~ 515.07ms
  2026-03-11 20:05:32 /api/super-admin/dashboard/stats ......................................................... ~ 1s
  2026-03-11 20:05:32 /api/super-admin/dashboard/revenue-trend ................................................. ~ 1s
  2026-03-11 20:05:33 /api/super-admin/dashboard/tenant-comparison ............................................. ~ 1s
  2026-03-11 20:05:33 /api/super-admin/dashboard/license-timeline .............................................. ~ 1s
  2026-03-11 20:05:34 /api/super-admin/dashboard/recent-activity ............................................... ~ 1s
  2026-03-11 20:05:34 /api/online-widget/settings ........................................................ ~ 519.46ms
  2026-03-11 20:05:35 /api/licenses/9 .................................................................... ~ 513.03ms
  2026-03-11 20:05:35 /api/online-widget/settings .............................................................. ~ 1s
  2026-03-11 20:05:36 /api/reseller/online-users ......................................................... ~ 513.30ms
  2026-03-11 20:05:38 /api/reseller/customers ............................................................ ~ 501.37ms
  2026-03-11 20:05:38 /api/programs ............................................................................ ~ 1s
  2026-03-11 20:05:39 /api/reseller/customers .................................................................. ~ 1s
  2026-03-11 20:05:39 /api/reseller/customers .................................................................. ~ 1s
  2026-03-11 20:05:40 /api/reseller/customers .................................................................. ~ 1s
  2026-03-11 20:05:41 /api/reseller/customers .................................................................. ~ 1s
  2026-03-11 20:05:41 /api/reseller/customers .................................................................. ~ 1s
  2026-03-11 20:05:41 /api/auth/login .......................................................................... ~ 1s
  2026-03-11 20:05:43 /api/licenses/4 .................................................................... ~ 503.15ms
  2026-03-11 20:05:43 /api/online-widget/settings .............................................................. ~ 1s
  2026-03-11 20:05:43 /api/manager/online-users ................................................................ ~ 2s
  2026-03-11 20:05:47 /api/manager/customers ................................................................... ~ 1s
  2026-03-11 20:05:47 /api/manager/team ........................................................................ ~ 1s
  2026-03-11 20:05:48 /api/programs ............................................................................ ~ 1s
  2026-03-11 20:05:48 /api/manager/customers ................................................................... ~ 1s
  2026-03-11 20:05:49 /api/manager/customers ................................................................... ~ 1s
  2026-03-11 20:05:49 /api/manager/customers ................................................................... ~ 1s
  2026-03-11 20:05:50 /api/manager/customers ................................................................... ~ 1s
  2026-03-11 20:05:50 /api/auth/login .......................................................................... ~ 1s
  2026-03-11 20:05:52 /api/online-widget/settings ........................................................ ~ 500.19ms
  2026-03-11 20:05:52 /api/online-users ........................................................................ ~ 1s
  2026-03-11 20:05:52 /api/licenses/4 .......................................................................... ~ 1s
  2026-03-11 20:05:55 /api/customers ..................................................................... ~ 500.62ms
  2026-03-11 20:05:55 /api/programs ............................................................................ ~ 1s
  2026-03-11 20:05:56 /api/team ................................................................................ ~ 1s
  2026-03-11 20:05:56 /api/customers ........................................................................... ~ 1s
  2026-03-11 20:05:57 /api/customers ........................................................................... ~ 1s
  2026-03-11 20:05:57 /api/customers ........................................................................... ~ 1s
  2026-03-11 20:05:58 /api/customers ........................................................................... ~ 1s
